,歌,月,元,真,侵
曹風,o,✓,✓,✓,o
魯頌,✓,✓,✓,o,✓
周南,✓,✓,o,✓,✓
召南,,,o,✓,
王風,,o,✓,✓,o
曹風,o,✓,✓,✓,o
邶風,✓,✓,,,
衛風,✓,✓,,o,✓
王風,,✓,✓,✓,o
鄭風,✓,✓,,,✓
齊風,o,✓,,,o
魏風,o,✓,,o,o
唐風,✓,✓,✓,,o
陳風,,✓,,o,✓
檜風,o,✓,,o,o
豳風,,✓,,✓,o
秦風,✓,o,,,
大雅,,✓,,,
周頌,o,✓,,✓,o
商頌,✓,,,o,o
