基聲旁,後期韵部,上古前後演變,上古後期魯曹雅言,聲母,等,開合,韻母,聲調,反切,廣通中古拼音,南京官話拼音,字,略註
干,元(元0),,xˤanh,曉,一,開,寒,去,呼旰,hàn,hang4,䍐,
干,元(元0),,gˤanh,匣,一,開,寒,去,侯旰,xàn,hang4,豻,
干,元(元0),,kʰʀˤan,溪,二,開,刪,平,可顔,khran,qän1,豻,
干,元(元0),,ŋˤan,疑,一,開,寒,平,俄寒,ngan,ang2,豻犴,
干,元(元0),,ŋˤanh,疑,一,開,寒,去,五旰,ngàn,ang4,豻犴頇1岸䮗𨲊,
干,月(月0),,ŋˤat,疑,一,開,曷,入,五割,ngat,o5,頇1,
干,元(元0),,xˤan,曉,一,開,寒,平,許干,han,hang1,鼾頇2,顢頇乃分音詞？
干,元(元0),,ɣˤanh,匣,一,開,寒,去,侯旰,xàn,hang4,鼾,
干,元(元0),,ŋʀˤanɣ,疑,二,開,刪,上,五板,ngrán,iän3,𪗙,
干,見(元1),,kɛn,見,三,開,元,平,居言,kyon,jän1,靬,
干,文,,kʀˤən,見,二,開,山,平,古閑,krän,jän1,靬,
干,元(元0),,kʰˤanh,溪,一,開,寒,去,苦旰,khàn,kang4,靬,
干,元(元0),,kʰˤan,溪,一,開,寒,平,苦寒,khan,kang1,靬栞𣓁刊,
干,見(元1),,kɛnɣ,見,三,開,元,上,居偃,kyón,jän3,㔓,
干,拜(月1),,kɛt,見,三,開,月,入,居謁,kyot,je5,訐,
干,拜(月1),,kʀɛt,見,三,開,薛B,入,居列,kiät,je5,訐,
干,拜(月1),,kʀɛth,見,三,開,祭B,去,居例,kyèj,ji4,訐,
干,見(元1),,gɛn,群,三,開,元,平,巨言,gyon,qän2,赶,
干,拜(月1),,gʷɛt,群,三,合,月,入,其月,güot,jüe5,赶,
干,見(元1),,xɛn,曉,三,開,元,平,虚言,hyon,xän1,軒蓒,
干,脂,,kˤøl,見,四,開,齊,平,古奚,kiei,ji1,枅笄䗗,
干,見(元1),,ŋˤɛn,疑,四,開,先,平,五堅,ngien,iän2,趼1,
干,見(元1),,ŋˤɛnh,疑,四,開,先,去,吾甸,ngièn,iän4,豜趼1,豜㺂同源？
干,見(元1),,kˤɛn,見,四,開,先,平,古賢,kien,jän1,豜䶬幵,豜麉同源
干,月(月0),,ŋʀat,疑,三,開,薛B,入,魚列,ngyät,lie5,䶬,
干,見(元1),,kˤɛnɣ,見,四,開,先,上,古典,kién,jän3,趼2𢆞𡘸,
干,元(元0),,ŋʀˤanh,疑,二,開,刪,去,五晏,ngràn,iän4,𤜵,
干,見(元1),,kʀˤɛnh,見,二,開,山,去,古莧,krä̀n,jän4,𤜵𧙧,𤜵疑豜見？
干,見(元1),,ŋˤɛnh,疑,四,開,先,去,吾甸,ngièn,iän4,𤜵研,
干,見(元1),,ŋˤɛn,疑,四,開,先,平,五堅,ngien,iän2,鳽1研妍揅㿼,
干,職,,ŋʀˤək,疑,二,開,麥,入,五革,ngrek,ä5,鳽1,訓鷊，名義“鷊同上”
干,耕,,kʰʀˤɛŋ,溪,二,開,耕,平,口莖,khreng,ken1,鳽2㰢,鵁鶄二字相切之合音。㰢中古新字擬咳聲
干,見(元1),,kˤɛn,見,四,開,先,平,古賢,kien,jän1,鳽2,
干,耕,,kʰˤɛŋh,溪,四,開,青,去,苦定,khièng,qin4,𪊑,
干,見(元1),,kˤɛn,見,四,開,先,平,古賢,kien,jän1,𪊑麉,
干,見(元1),,kʰˤɛn,溪,四,開,先,平,苦堅,khien,qän1,汧𪊑邢蚈岍,
干,見(元1),,kʰˤɛnh,溪,四,開,先,去,苦甸,khièn,qän4,汧,
干,見(元1),,kʰˤɛn,溪,四,開,先,平,苦堅,khien,qän1,雃,
干,元(元0),,ŋˤan,疑,一,開,寒,平,俄寒,ngan,ang2,雃,
干,見(元1),,ɣˤɛnɣ,匣,四,開,先,上,胡典,xién,xän4,䵤,
干,脂,,ɣʷˤøl,匣,四,合,齊,平,戸圭,xvei,huei2,䀘,
干,脂,,ŋˤølh,疑,四,開,齊,去,五計,ngièi,i4,𢏗羿𦐧,
干,見(元1),,xˤɛn,曉,四,開,先,平,呼煙,hien,xän1,訮,
干,見(元1),,ŋʀˤɛn,疑,二,開,山,平,五閑,ngrän,iän2,訮,
干,元(元0),,kʰanɣ,溪,三,開,仙A,上,去演,khiä́n,qän3,𥳐,
干,見(元1),,ŋɛnɣ,疑,三,開,元,上,語偃,ngyón,iän3,𪗛,
干,月(月0),,sxat,心,三,開,薛A,入,私列,siät,sie5,絬,
干,月(月0),,hlat,船,三,開,薛A,入,食列,zjiät,shä5,舌,
幺,宵,,hʀˤøh,影,二,開,肴,去,於敎,qràu,ao4,軪靿袎㑃,
幺,宵,,hʀˤø,影,二,開,肴,平,於交,qrau,ao1,軪䫜坳眑1,
幺,宵,,hˤøɣ,影,四,開,蕭,上,烏皎,qiéu,iao3,鴢窈𨱧苭,
幺,宵,,hʀˤøɣ,影,二,開,肴,上,於絞,qráu,ao3,鴢拗𢂊狕,
幺,幽,,hoɣ,影,三,開,尤,上,於柳,qyú,iou3,䱂䬀,
幺,幽,,ho,影,三,開,尤,平,於求,qyu,iou1,𢆶怮𪋎,
幺,宵,,hˤø,影,四,開,蕭,平,於堯,qieu,iao1,怮䱂幺,
幺,幽,,hʀoɣ,影,三,開,幽,上,於糾,qiú,iou3,怮泑䬀蚴眑2黝,
幺,幽,,hʀo,影,三,開,幽,平,於虯,qiu,iou1,怮泑𣢜𢆶幽呦𧍘,
幺,幽,,hʀoɣ,影,三,開,幽,上,於糾,qiú,iou3,𣢜,
幺,覺,,hʀok,影,三,開,屋,入,於六,qyuk,ü5,𣢜,
幺,脂,,høl,影,三,開,脂A,平,於脂,qi,i1,黝,黟之誤？
幺,幽,,hʀoh,影,三,開,幽,去,伊謬,qiù,iou4,幼,
幺,覺,,hʀˤokh,影,二,開,肴,去,於敎,qràu,ao4,箹,
幺,屋,,hʀˤɔk,影,二,開,覺,入,於角,qrök,o5,箹葯,
幺,藥,,høk,影,三,開,藥,入,於略,qyak,io5,約葯,
幺,屋,,hɔkh,影,三,開,宵A,去,於笑,qiä̀u,iao4,約,
广,侵,,ɣˤəmɣ,匣,一,開,覃,上,胡感,xö́m,hang4,𢇞,
广,嚴(談1),,ŋɛmɣ,疑,三,開,嚴,上,魚(魯)埯(掩),ngyö́m,iän3,广𠆲㢂𢇘,
广,談(談0),,ŋʀamɣ,疑,三,開,鹽B,上,魚檢,ngyä́m,iän3,广,
弋,職,,xlˤəkh,透,一,開,咍,去,他代,thö̀i,tä4,貸,
弋,職,,xlˤək,透,一,開,德,入,他德,thëk,tä5,貣忒,
弋,職,,ɣlˤək,定,一,開,德,入,徒得,dëk,dä5,貣𧈩𧎢鴏,
弋,職,,ɣlˤəkh,定,一,開,咍,去,徒耐,dö̀i,dä4,代岱黛帒袋𤮼𨟲(酨),
弋,職,,xlək,書,三,開,職,入,賞職,sjyk,shr5,式拭𢂑軾𥿮鉽烒,
弋,職,,xləkh,書,三,開,之,去,式吏,sjỳ,shr4,試弑弒,
弋,職,,tʰʀək,徹,三,開,職,入,恥力,tchyk,chr5,栻侙𪀦恜,恜同慗
弋,屋,,hlɔk,船,三,開,燭,入,神蜀,zjyok,shu5,䴬(䴰),方言
弋,職,,ɣlək,以,三,開,職,入,與職,jyk,i5,䴬弋黓𦏵隿㚤杙芅𤬩𢖺𢎀釴䄩𢓀䘝䣧,黓黑
弓,冬,,goŋ,群,三,開,東,平,渠弓,gyung,qong2,窮藭,
弓,蒸,,kʷəŋ,見,三,開,東,平,居戎,kyung,gong1,弓,
弓,冬,,koŋ,見,三,開,東,平,居戎,kyung,gong1,匑躬,
弓,冬,,kʰoŋ,溪,三,開,東,平,去宮,khyung,kong1,焪匑穹芎,
弓,冬,,kʰoŋh,溪,三,開,東,去,去仲,khyùng,kong4,焪䛪䠻,
弓,陽,,gaŋɣ,群,三,開,陽,上,其兩,gyáng,jang4,弜,
弜,支,,gʀɛ,群,三,開,支B,平,渠羈,gyï,qi2,弜,訓𢻚 todo：排序
弜,支,,gɛ,群,三,開,支A,平,巨支,giï,qi2,𦭲,
彑,脂,,ɣløl,以,三,開,脂A,平,以脂,ji,i2,彝㰘,
彑,月(月0),,kʀath,見,三,開,祭B,去,居例,kyèj,ji4,彐彑,
彑,皮(歌1),,kʰlɛlɣ,昌,三,開,支A,上,尺氏,tsjhiḯ,chr3,𧰲,
彑,元(元0),,xlʷˤanh,透,一,合,桓,去,通貫,thuàn,tuang4,彖褖湪,
彑,文,,ɣlʷˤənh,定,一,合,魂,去,徒困,dùon,duen4,鶨𩔂,
彑,元(元0),,tʰʀʷanh,徹,三,合,仙B,去,丑戀,tchüä̀n,chuang4,猭鶨,
彑,元(元0),,tʰʀʷan,徹,三,合,仙B,平,丑緣,tchüän,chuang1,猭剶,㺦猭配疊韻
彑,元(元0),,skʷan,精,三,合,仙A,平,子泉,tsvän,züän1,剶,
彑,見(元1),,skʰˤɛnh,清,四,開,先,去,倉甸,tshièn,ciän4,䛹,
彑,見(元1),,ɣlɛn,以,三,合,仙A,平,與專,jvän,üän2,緣櫞蝝䱲,
彑,見(元1),,ɣlɛnh,以,三,合,仙A,去,以絹,jvä̀n,üän4,緣掾𢐄,
彑,見(元1),,dʀʷɛn,澄,三,合,仙B,平,直攣,dcüän,chuang2,椽,
彑,見(元1),,dʀʷɛnɣ,澄,三,合,仙B,上,持兖,dcüä́n,zhuang4,篆瑑䧘堟,
彑,見(元1),,ŋʷɛn,疑,三,合,元,平,愚袁,ngüon,üän2,𨙅,
彑,拜(月1),,xʷɛth,曉,三,合,廢,去,呼吠,hüö̀j,huei4,䂕,
彑,拜(月1),,xʷɛth,曉,三,合,廢,去,許穢,hüö̀j,huei4,喙𤸁𣨶餯,
彑,脂,,ʀˤøl,來,四,開,齊,平,郎奚,liei,li2,盠,
彑,脂,,ʀˤølɣ,來,四,開,齊,上,盧啓,liéi,li3,盠劙𦫈𩽵欚,蠡地名方言，劙𠠍同源
彑,脂,,ʀˤølh,來,四,開,齊,去,郎計,lièi,li4,劙,劙𠠫同
彑,皮(歌1),,ʀɛl,來,三,開,支A,平,吕支,liï,li2,蠡劙,蠡音譯
彑,歌(歌0),,ʀʷˤal,來,一,合,戈,平,落戈,luö,lo2,蠡,同螺
彑,脂,,ʀˤølɣ,來,四,開,齊,上,盧啓,liéi,li3,蠡,
彑,歌(歌0),,ʀʷˤalɣ,來,一,合,戈,上,郎果,luö́,lo3,𤼠,同瘰
彑,皮(歌1),,ɣlɛlh°,定,三,開,脂A,去,徒四,dì,di4,墬,同地
彑,皮(歌1),,ɣʀˤɛl,匣,二,開,佳,平,戸佳,xre,xä2,㥟,
才,之,,skʰˤə,清,一,開,咍,平,倉才,tshöi,cä1,睵,
才,之,,skˤə,精,一,開,咍,平,祖才,tsöi,zä1,栽睵烖哉𢦏𦳦渽,
才,之,,sgˤəh,從,一,開,咍,去,昨代,dzö̀i,zä4,載栽,
才,之,,skˤəɣ,精,一,開,咍,上,作亥,tsö́i,zä3,載,
才,之,,skˤəh,精,一,開,咍,去,作代,tsö̀i,zä4,載𨚵𩛥䵧,
才,之,,skʰˤə,清,一,開,咍,平,倉才,tshöi,cä1,䞗,
才,之,,skʰʀˤə,初,二,開,皆,平,楚皆,tschräi,chä1,䞗,
才,之,,sgˤə,從,一,開,咍,平,昨哉,dzöi,cä2,裁財才材䴭溨𦬁,
才,之,,sgˤəh,從,一,開,咍,去,昨代,dzö̀i,zä4,裁在酨,酨𨟲或是同源詞
才,之,,sgˤəɣ,從,一,開,咍,上,昨宰,dzö́i,zä4,在,
才,之,,sgʀˤə,崇,二,開,皆,平,士皆,dzcräi,chä2,豺𡺵,
才,之,,sgˤə,從,一,開,咍,平,昨哉,dzöi,cä2,鼒,
才,之,,skə,精,三,開,之,平,子之,tsy,zy1,鼒,
才,之,,skʀə,莊,三,開,之,平,側持,tscy,zy1,茬䊷,
才,之,,sgʀə,崇,三,開,之,平,士之,dzcy,cy2,茬,
才,之,,skʀəh,莊,三,開,之,去,側吏,tscỳ,zy4,胾,
才,之,,skʰəh,清,三,開,之,去,七吏,tshỳ,cy4,蛓,
才,支,,skʰɛh,清,三,開,支A,去,七賜,tshiï̀,cy4,蛓𧧟(䛋),
㐄,歌(歌0),,kʰʀʷˤalɣ,溪,二,合,麻,上,苦瓦,khwá,kua3,𡕒㐄,
㐄,歌(歌0),,kʰʀʷˤalh,溪,二,合,麻,去,苦化,khwà,kua4,𡕒㐄,
㐄,歌(歌0),,kʷˤal,見,一,合,戈,平,古禾,kuö,go1,𩰫𩰬,
㐄,皮(歌1),,kʀʷˤɛl,見,二,合,佳,平,古娃,kwe,gua1,𧬭,
㐄,皮(歌1),,xʀʷˤɛl,曉,二,合,佳,平,火媧,hwe,hua1,竵𠿎,
㐄,見(元1),,kʰlɛnɣ,昌,三,合,仙A,上,昌兖,tsjhvä́n,chuang3,舛荈,
㐄,文,,xlʷənh,書,三,合,諄,去,舒閏,sjvìn,shuen4,舜䑞蕣瞬,
㐄,文,,kʰlʷənɣ,昌,三,合,諄,上,尺尹,tsjhvín,chuen3,僢,
㔾,談(談0),,pʀam,幫,三,開,鹽B,平,府廉,pyäm,biän1,𥐗,
㔾,談(談0),,pʰamh,滂,三,合,凡,去,孚梵,phüö̀m,fang4,氾䀀,
㔾,談(談0),,bam,並,三,合,凡,平,符䒦(咸),büöm,fang2,氾𦨲,
㔾,談(談0),,bamɣ,並,三,合,凡,上,防錽,büö́m,fang4,范範笵犯𧍙,犯象犬犯人
𠫓,物,,xlʷˤət,透,一,合,沒,入,他骨,thuot,tu5,𡿮𠫓,𠫓突同
𠫓,物,,ɣlʷˤət,定,一,合,沒,入,陀骨,duot,du5,𡿮,
不,之,,pˤə,幫,一,合,灰,平,布回,puöi,bei1,桮杯盃,
不,侯,,bˤɔ,並,一,開,侯,平,薄侯,bu,pou2,抔,
不,之,,pʰˤə,滂,一,合,灰,平,芳杯,phuöi,pei1,衃肧醅抔坯㾦𩵣𤬃,
不,之,,pʰə,滂,三,開,尤,平,匹尤,phyu,fu1,衃肧醅𡬇(𡫺),
不,宵,,pʰˤøɣ,滂,一,開,咍,上,普乃,phö́i,pä3,俖,
不,之,,bʀˤə,並,二,開,皆,平,步皆,bräi,pä2,𩑢,
不,之,,bˤə,並,一,合,灰,平,薄回,buöi,pei2,培婄𩑢陪毰𤗏,
不,侯,,bˤɔɣ,並,一,開,侯,上,蒲口,bú,bou4,培婄犃䴺篰咅,咅，夫口切誤作天口切
不,侯,,pʰˤɔɣ,滂,一,開,侯,上,普后,phú,pou3,婄,
不,侯,,bˤɔɣ,並,一,開,侯,上,蒲口,bú,bou4,部,
不,魚,,bˤaɣ,並,一,開,模,上,裴古,bó,bu4,部,
不,幽,,bo,並,三,開,尤,平,縛謀,byu,fu2,掊,
不,侯,,pˤɔɣ,幫,一,開,侯,上,方垢,pú,bou3,掊,
不,侯,,bʀˤɔ,並,二,開,肴,平,薄交,brau,pao2,掊,
不,侯,,bˤɔ,並,一,開,侯,平,薄侯,bu,pou2,掊䏽箁䎧,
不,侯,,bˤɔh,並,一,開,侯,去,蒲候,bù,bou4,䏽,
不,侯,,bˤɔɣ,並,一,開,侯,上,蒲口,bú,bou4,䏽,
不,幽,,bo,並,三,開,尤,平,縛謀,byu,fu2,棓罘涪芣,罘同罦䍖
不,之,,bˤə,並,一,合,灰,平,薄回,buöi,pei2,棓,
不,東,,bʀˤɔŋɣ,並,二,開,江,上,步項,brö́ng,bang4,棓䎧,訓棒
不,侯,,bˤɔ,並,一,開,侯,平,薄侯,bu,pou2,䍌,
不,之,,bə,並,三,開,尤,平,縛謀,byu,fu2,䍌,
不,侯,,bˤɔɣ,並,一,開,侯,上,蒲口,bú,bou4,䍌瓿,
不,侯,,bɔ,並,三,合,虞,平,防無,büo,fu2,瓿,
不,侯,,bˤɔɣ,並,一,開,侯,上,蒲口,bú,bou4,蔀,
不,侯,,pʰˤɔɣ,滂,一,開,侯,上,普后,phú,pou3,䯽剖蔀䳝,
不,侯,,pʰɔɣ,滂,三,合,虞,上,芳武,phüó,fu3,䯽剖䋨𦵿,
不,侯,,bˤɔ,並,一,開,侯,平,薄侯,bu,pou2,䯽,
不,宵,,bˤø,並,一,開,咍,平,扶來,böi,pä2,𤗏㯁,
不,之,,bˤəɣ,並,一,合,灰,上,部浼,buö́i,bei4,倍,集韻部浼切
不,之,,pˤəh,幫,一,合,灰,去,補妹,puöi,bei4,倍,集韻補妹切
不,之,,bəɣ,並,三,開,尤,上,房久,byú,fu4,菩負萯蝜𪃓偩,
不,宵,,bˤøɣ,並,一,開,咍,上,薄亥,bö́i,bä4,菩倍蓓,
不,魚,,bˤa,並,一,開,模,平,薄胡,bo,pu2,菩,
不,職,,bˤək,並,一,開,德,入,蒲北,bëk,bä5,踣菩䞳,訓仆
不,侯,,pʰˤɔh,滂,一,開,侯,去,匹候,phù,pou4,䞳踣㰴,
不,侯,,pʰɔh,滂,三,合,虞,去,芳遇,phüò,fu4,䞳,
不,之,,pʰəɣ,滂,三,開,尤,上,芳否,phyú,fu3,紑𩂆,
不,之,,pə,幫,三,開,尤,平,甫鳩,pyu,fu1,紑,
不,之,,pʰə,滂,三,開,尤,平,匹尤,phyu,fu1,紑,
不,之,,pə,幫,三,開,尤,平,甫鳩,pyu,fu1,不鴀,
不,之,,pəɣ,幫,三,開,尤,上,方久,pyú,fu3,否不鴀痞,
不,之,,bʀəɣ,並,三,開,脂B,上,符鄙,byí,bei4,否痞,
不,之,,pʀəɣ,幫,三,開,脂B,上,方美,pyí,bi3,痞娝,
不,之,,pəɣ,幫,三,開,尤,上,方久,pyú,fu3,殕,
不,侯,,pʰɔɣ,滂,三,合,虞,上,芳武,phüó,fu3,殕,
不,之,,pʰəɣ,滂,三,開,尤,上,芳婦,phyú,fu3,秠,
不,之,,pʰə,滂,三,開,尤,平,匹尤,phyu,fu1,秠,
不,之,,pʰʀə,滂,三,開,脂B,平,敷悲,phyi,pei1,秠丕㔻伾䪹駓怌豾髬,
不,之,,pʰʀəɣ,滂,三,開,脂B,上,匹鄙,phyí,pei3,秠嚭,
不,之,,bʀə,並,三,開,脂B,平,符悲,byi,pei2,䫠鉟魾邳䲹岯,
不,之,,pʰʀə,滂,三,開,脂B,平,敷悲,phyi,pei1,䫠魾鉟,
不,侯,,pʰɔ,滂,三,合,虞,平,芳無,phüo,fu1,䓏,
不,物,,pət,幫,三,合,物,入,分勿,püët,fu5,不,同弗
不,物,,mʀət,明,三,開,質B,入,美筆(畢),myt,mi5,㫘(㸓𥄃),
丏|万,見(元1),,mɛnh,明,三,合,元,去,無販,müòn,uang4,万,
丏|万,職,,mˤək,明,一,開,德,入,莫北,mëk,mä5,万,音譯
丏|万,真(真0),,pøn,幫,三,開,真A,平,必鄰,pin,bin1,䚔儐賓𧶉濱檳顮鑌矉,
丏|万,真(真0),,pønh,幫,三,開,真A,去,必刃,pìn,bin4,䚔儐擯殯鬢𧸈,
丏|万,真(真0),,pʰønh,滂,三,開,真A,去,撫刃,phìn,pin4,䚔𩰗,
丏|万,真(真0),,pʰøn,滂,三,開,真A,平,匹賓,phin,pin1,𩴱繽䎙𢣐𩰝,
丏|万,真(真0),,pøn,幫,三,開,真A,平,必鄰,pin,bin1,𩴱瀕,
丏|万,真(真0),,bøn,並,三,開,真A,平,符眞,bin,pin2,蠙𩴱薲嬪獱頻蘋㰋顰𧭹嚬𦇖𡤉,
丏|万,真(真0),,bˤøn,並,四,開,先,平,部田,bien,piän2,蠙,
丏|万,真(真0),,bønɣ,並,三,開,真A,上,毗忍,bín,bin4,髕臏,
丏|万,見(元1),,mˤɛnɣ,明,四,開,先,上,彌殄,mién,miän3,眄丏,
丏|万,見(元1),,mˤɛnh,明,四,開,先,去,莫甸,mièn,miän4,眄麪㴐𡧍,
丏|万,質,,mˤøt,明,四,開,屑,入,莫結,miet,mie5,𥾝𥸴,
丏|万,元(元0),,man,明,三,開,仙A,平,武延,miän,miän2,𧉄𣏜,
丏|万,元(元0),,manɣ,明,三,開,仙A,上,彌兖,miä́n,miän3,沔汅,
中,冬,,tʀoŋ,知,三,開,東,平,陟弓,tcyung,zhong1,中衷忠,
中,冬,,tʀoŋh,知,三,開,東,去,陟仲,tcyùng,zhong4,中衷,
中,冬,,tʰʀoŋ,徹,三,開,東,平,敕中,tchyung,chong1,忡浺,
中,冬,,tʰʀoŋ,徹,三,開,東,平,敕中,tchyung,chong1,盅,
中,冬,,dʀoŋ,澄,三,開,東,平,直弓,dcyung,chong2,盅,
中,冬,,tʀoŋ,知,三,開,東,平,陟弓,tcyung,zhong1,𦬕,
中,冬,,dʀoŋ,澄,三,開,東,平,直弓,dcyung,chong2,𦬕,
中,冬,,dʀoŋ,澄,三,開,東,平,直弓,dcyung,chong2,沖种翀,
中,冬,,dʀoŋh,澄,三,開,東,去,直衆,dcyùng,zhong4,仲𩿀,
丮,鐸,,kʀak,見,三,開,陌,入,几劇,kyäk,ji5,𤜾丮𠱨,
丯,月(月0),,kˤat,見,一,開,曷,入,古達,kat,go5,割,
丯,月(月0),,kʀˤath,見,二,開,夬,去,古喝,kràj,jä4,犗𧜅,
丯,物,,kʀʷˤət,見,二,合,黠,入,古滑,kwät,gua5,𠟽,
丯,物,,kʀˤət,見,二,開,黠,入,古黠,krät,ja5,磍1,
丯,月(月0),,kʰˤath,溪,一,開,泰,去,苦蓋,khàj,kä4,轄1𥎆㪡,
丯,月(月0),,kʰʀˤat,溪,二,開,鎋,入,枯鎋,khrat,qa5,磍2,
丯,月(月0),,gˤat,匣,一,開,曷,入,胡葛,xat,ho5,㮫,
丯,月(月0),,ɣˤath,匣,一,開,泰,去,胡蓋,xàj,hä4,害𡕗𢞐,
丯,月(月0),,ɣʀˤat,匣,二,開,鎋,入,胡瞎,xrat,xa5,鎋轄2鶷𦵯縖𩝛𥰶𠢆,
丯,月(月0),,xˤat,曉,一,開,曷,入,許葛,hat,ho5,𩡔,
丯,月(月0),,xʀˤat,曉,二,開,鎋,入,許鎋,hrat,xa5,瞎,
丯,月(月0),,xʀˤath,曉,二,開,夬,去,火犗,hràj,xä4,𦤬,
丯,文,,xənɣ,曉,三,開,欣,上,休謹,hyë́n,xin3,䘆,吳楚方言
丯,見(元1),,xɛnɣ,曉,三,開,元,上,虚偃,hyón,xän3,䘆幰攇䜢,
丯,見(元1),,xɛnh,曉,三,開,元,去,許建,hyòn,xän4,憲𧾨瀗,
丯,月(月0),,xʷˤat,曉,一,合,末,入,呼括,huat,ho5,豁𧯆,
丯,月(月0),,ŋʀˤat,疑,二,開,鎋,入,五鎋,ngrat,ia5,𩮝,
丯,拜(月1),,hˤɛt,影,四,開,屑,入,烏結,qiet,ie5,㝣,
丯,拜(月1),,hˤɛth,影,四,開,齊,去,於計,qièi,i4,㝣,
丯,拜(月1),,kʀˤɛth,見,二,開,皆,去,古拜,krä̀i,jä4,丯,丯芥同
丯,拜(月1),,kˤɛt,見,四,開,屑,入,古屑,kiet,je5,鍥,
丯,拜(月1),,kʰˤɛt,溪,四,開,屑,入,苦結,khiet,qe5,鍥,
丯,拜(月1),,kʀˤɛt,見,二,開,黠,入,古黠,krät,ja5,𪃈楔1𠜵,
丯,拜(月1),,kˤɛt,見,四,開,屑,入,古屑,kiet,je5,絜𪃈潔䥛𣚃,
丯,拜(月1),,gˤɛt,匣,四,開,屑,入,胡結,xiet,xe5,絜𥊯䐼1,
丯,拜(月1),,kˤɛth,見,四,開,齊,去,古詣,kièi,ji4,𨜒,
丯,拜(月1),,kʰʀˤɛt,溪,二,開,黠,入,恪八,khrät,qa5,𩮁㓞,
丯,月(月0),,kʀˤat,見,二,開,鎋,入,古鎋,krat,ja5,𩮁猰,
丯,拜(月1),,hʀˤɛt,影,二,開,黠,入,烏黠,qrät,ia5,猰䝟窫,猰䝟同
丯,拜(月1),,kʰˤɛt,溪,四,開,屑,入,苦結,khiet,qe5,契猰䫔1挈㼤蛪,契闊配丰等雙聲
丯,物,,kʰət,溪,三,開,迄,入,去迄,khyët,qi5,契,
丯,拜(月1),,kʰˤɛth,溪,四,開,齊,去,苦計,khièi,qi4,契栔𦩣䫔2,
丯,拜(月1),,kʰˤɛt,溪,四,開,屑,入,苦結,khiet,qe5,栔,
丯,拜(月1),,kʰʷˤɛt,溪,四,合,屑,入,苦穴,khvet,qüe5,𨴒,
丯,歌(歌0),,kʰʀˤalh,溪,二,開,麻,去,枯駕,khrà,qa4,𧩶,
丯,拜(月1),,ɣˤɛth,匣,四,開,齊,去,胡計,xièi,xi4,䐼2𦝜禊稧,
丯,拜(月1),,ɣˤɛt,匣,四,開,屑,入,胡結,xiet,xe5,𢴲,
丯,拜(月1),,xˤɛt,曉,四,開,屑,入,虎結,hiet,xe5,𢴲褉,
丯,拜(月1),,ŋˤøt,疑,四,開,屑,入,五結,ngiet,lie5,齧𡿖1,嶭嵲𡴎𡿖𡸢隉臲同
丯,月(月0),,ŋʀˤat,疑,二,開,鎋,入,五鎋,ngrat,ia5,𡿖2,
丯,拜(月1),,sxˤɛt,心,四,開,屑,入,先結,siet,sie5,楔2揳偰,
丯,月(月0),,kʰʀat,溪,三,開,薛B,入,丘竭(謁),khyät,qe5,𡐤,
丯,拜(月1),,gˤɛth,匣,四,開,齊,去,胡計,xièi,xi4,瘛1,
丯,月(月0),,kʰlat,昌,三,開,薛A,入,昌列,tsjhiät,chä5,瘛2,
丯,月(月0),,kʰlath,昌,三,開,祭A,去,尺制,tsjhièj,chr4,瘛2𤸪,
丯,月(月0),,glath,常,三,開,祭A,去,時制,dzjièj,shr4,觢𦚨,
丯,月(月0),,tʰʀath,徹,三,開,祭B,去,丑例,tchyèj,chr4,𧼪𨂰,
丯,鐸,,ŋʀˤak,疑,二,開,陌,入,五陌,ngräk,ä5,䱮,𩹺䱮疊韻化，從喫省聲？
,錫,,kʰˤɛk,溪,四,開,錫,入,苦擊,khiek,qi5,喫,本同吃，t尾。訓𠿊
丰,東,,pʀˤɔŋɣ,幫,二,開,江,上,巴講,prö́ng,bang3,𦂌,
丰,東,,pˤɔŋɣ,幫,一,開,東,上,邊孔,púng,ben3,𦂌,
丰,東,,pˤɔŋɣ,幫,一,開,東,上,邊孔,púng,ben3,菶,
丰,東,,bˤɔŋɣ,並,一,開,東,上,蒲蠓,búng,ben4,菶,
丰,東,,bˤɔŋɣ,並,一,開,東,上,蒲蠓,búng,ben4,埲,
丰,東,,bˤɔŋɣ,並,一,開,東,上,蒲蠓,búng,ben4,唪,
丰,東,,bɔŋɣ,並,三,開,鍾,上,扶隴,byóng,fen4,唪,
丰,東,,bɔŋɣ,並,三,開,鍾,上,扶隴,byóng,fen4,奉,
丰,陽,,pˤaŋ,幫,一,開,唐,平,博旁,pang,bang1,幫㨍鞤,
丰,東,,pʀˤɔŋ,幫,二,開,江,平,博江,pröng,bang1,邦𤰫梆垹,
丰,東,,bʀˤɔŋ,並,二,開,江,平,薄江,bröng,pang2,逄舽,
丰,東,,bʀˤɔŋ,並,二,開,江,平,薄江,bröng,pang2,胮𩐨,
丰,東,,pʰʀˤɔŋ,滂,二,開,江,平,匹江,phröng,pang1,胮𩐨,
丰,東,,pʰʀˤɔŋ,滂,二,開,江,平,匹江,phröng,pang1,𤵸𪔔𪐿,
丰,東,,pʰʀˤɔŋh,滂,二,開,江,去,匹絳,phrö̀ng,pang4,肨(胖),
丰,東,,bˤɔŋ,並,一,開,東,平,薄紅,bung,pen2,蓬𥭗篷髼𧚋韸,
丰,東,,bˤɔŋ,並,一,開,東,平,薄紅,bung,pen2,蜂,
丰,東,,pʰɔŋ,滂,三,開,鍾,平,敷容,phyong,fen1,蜂,
